Product Name,Brand,Barcode
T Plus Masala,MDH,6291103750358
MDH JAL JEERA MASALA,MDH,8902167000010
Karahi Paneer Masala,MDH,6291103750617
Stuffed Parantha Masala Spice Blend,MDH,6291103750495
Curry Masala for Karahi Gosht,MDH,6291103750204
Sindhi Biryani masala,MDH,8902167001222
Chhole Masala,Catch,8901192221117
Sprinkler Black Pepper,Catch,8901192114006
CHICKEN MASALA,Catch,8901192214119
SAMBHAR MASALA,Catch,8901192202116
Catch Chatpata Chat Masala,Catch,8901192204110
KITCHEN KING,Catch,8901192208118
Catch sabzi masala,Catch,8901192215116
JALJEERA,Catch,8901192217110
MEAT MASALA,Catch,8901192213112
Garam masala,Catch,8901192216113
catch Rajma masala,Catch,8901192223111
Amchur power,Catch,8901192105110
Kashmiri mirch power,Catch,8901192103116
catch chana masala,Catch,8901192207111
catch biryani masala,Catch,8901192210012
pav bhaji masala,Catch,3541879797808
Madras Sambar Masala,Badshah,8901774002165
Mélange De Thandai Masala,Badshah,8901774002196
Chat Masala,Badshah,0850053642548
Tandoori Chicken Masala,Sakthi,8906002084036
Chilli Powder,Sakthi,8906002080113
Biriyani Masala,Sakthi,8906002081615
Super garam masala,Eastern,8901440205647
Butter Masala Sauce,Eastern,0862768000117
Garam Masala,Eastern,8901440011248
Spicy Chicken Masala,Eastern,8901440222118
Mutton Masala,Eastern,8901440011446
Beef Ularthu Masala,Eastern,8901440206859
Chicken 64 Masala,Eastern,8901440214403
Egg Masala Powder,Eastern,8901440209416
Chicken Masala Spice Mix,Eastern,8901440011101
Chicken Fry Masala,Eastern,8901440011439
fortune sun lite sunflower oil 15 litre,Fortune,8906007280310
Pro Immunity Multi-source Edible Oil,Fortune,8906008811902
100% Sanfflower Oil,Saffola,0071800828309
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,8901088034593
Saffola Gold,Saffola,8901088155458
Saffola gold Blended oil 5 l,Saffola,8901088017411
Dhara groundnut oil,Dhara,8906004620171
Dhara ground nut oil,Dhara,00006528
mustard oil,Dhara,8906004620287
Kachi Ghani Mustard Oil,Dhara,8906004620256
Kachi Ghani Mustard Oil,Dhãra,9909404862027
