product_name,brand,category,source,enrichment_status
Madras Sambar Masala,Badshah,Ready-to-Eat,openfoodfacts,not_found
Chat Masala,Badshah,Spices & Masala,openfoodfacts,not_found
Chilli Powder,Sakthi,Spices & Masala,openfoodfacts,not_found
Biriyani Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Super garam masala,Eastern,Spices & Masala,openfoodfacts,enriched
Butter Masala Sauce,Eastern,Sauces & Condiments,openfoodfacts,not_found
Garam Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Spicy Chicken Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Mutton Masala,Eastern,Sauces & Condiments,openfoodfacts,enriched
Beef Ularthu Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Chicken 64 Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Fry Masala,Eastern,Spices & Masala,openfoodfacts,not_found
fortune sun lite sunflower oil 15 litre,Fortune,Grains & Flour,openfoodfacts,enriched
Fortune Refined Sunflower Oil,Fortune,Grains & Flour,openfoodfacts,enriched
Pro Immunity Multi-source Edible Oil,Fortune,Grains & Flour,openfoodfacts,not_found
100% Sanfflower Oil,Saffola,Cooking Oil,openfoodfacts,not_found
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola Gold,Saffola,Cooking Oil,openfoodfacts,not_found
Dhara groundnut oil,Dhara,Cooking Oil,openfoodfacts,enriched
Dhara ground nut oil,Dhara,Cooking Oil,openfoodfacts,enriched
mustard oil,Dhara,Cooking Oil,openfoodfacts,not_found
Kachi Ghani Mustard Oil,Dhara,Cooking Oil,openfoodfacts,enriched
Kachi Ghani Mustard Oil,Dhãra,Plant Based Foods And Beverages,openfoodfacts,enriched
Dhara Refined Sunflower oil 5l,Dhara,Cooking Oil,openfoodfacts,enriched
Blended Edible Vegetable multi source oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Sundrop Heart blnd edbl oil 1ltr,Sundrop,Cooking Oil,openfoodfacts,enriched
sundrop oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Water Buffalo And Cow Milk Butter,Amul,Dairy,openfoodfacts,not_found
Amul masti spiced butter milk,Amul,Dairy,openfoodfacts,enriched
Pure ghee clarified butter,Amul,Dairy,openfoodfacts,not_found
Cheese block,Amul,Dairy,openfoodfacts,enriched
Badam Flavoured Milk,Nandini,Beverages,openfoodfacts,not_found
Nandini Good Life,Nandini,Dairy,openfoodfacts,enriched
Nandini Curd,Nandini,Dairy,openfoodfacts,enriched
goodlife slim,Nandini,Dairy,openfoodfacts,not_found
Nandini Healthy Life Lite Double Toned Milk,Nandini,Dairy,openfoodfacts,enriched
Nandini badam milk,Nandini,Dairy,openfoodfacts,enriched
Slim UHT Sterilised Skimmed Milk,Nandini,Dairy,openfoodfacts,not_found
Desi Cow Milk,Nandini,Dairy,openfoodfacts,enriched
Santhrupthi Milk,Nandini,Dairy,openfoodfacts,not_found
Fresh Paneer,Verka,Dairy,openfoodfacts,not_found
Haldiram Chips Panchrattan,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
Cornflakes Mixture,Haldiram's,Snacks & Namkeen,openfoodfacts,not_found
taka-tak,Haldiram's,Snacks & Namkeen,openfoodfacts,not_found
Uncle Saba’s Lentil and chickpea chips,Uncle Saba’s lentil and chickpea chips,Snacks & Namkeen,openfoodfacts,not_found
Xtreme Butter,ACT II,Snacks & Namkeen,openfoodfacts,not_found
palomitas ACT II natural 3 pack,ACT II,Snacks & Namkeen,openfoodfacts,enriched
ACT II popcorn butter delight,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Popcorn butter,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Butter Lovers Flavour Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Act II sabor Mantequilla,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Butter Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Xtreme Butter Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
ACT II Butter Lovers Flavour,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Act II Kettle Corn,ACT II,Snacks & Namkeen,openfoodfacts,enriched
Light Butter Flavour Microwave Popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
ACT II Simply Salted popcorn,ACT II,Snacks & Namkeen,openfoodfacts,not_found
Munchies Orange,Nestlé,Snacks & Namkeen,openfoodfacts,not_found
Flamin' Hot Snack Mix,Munchies,Snacks & Namkeen,openfoodfacts,not_found
Munchies Cookie Dough,Nestlé,Other,openfoodfacts,not_found
Bikaneri bhujia,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Aloo Bhujia Tana-Tan,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
bikaji bikaneri bhujia 400g,Bikaji,Snacks & Namkeen,openfoodfacts,enriched
Potato Chips Mint Pudina,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Crunchm,Balaji,Snacks & Namkeen,openfoodfacts,enriched
Potato chips,Balaji,Snacks & Namkeen,openfoodfacts,enriched
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Crunchem Pizzy Masala,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Crunchem,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Good day,Britannia,Snacks & Namkeen,openfoodfacts,not_found
GOOD DAY CHOCO COOKIES,Britannia,Biscuits & Bakery,openfoodfacts,enriched
"Britannia, Good Day, Butter Cookies",Britannia,Snacks & Namkeen,openfoodfacts,not_found
Good Day butter cookies,Britannia,Snacks & Namkeen,openfoodfacts,enriched
Good day - Cashew Cookies,Britannia,Snacks & Namkeen,openfoodfacts,not_found
Oreo Cream Biscuit,Cadbury,Snacks & Namkeen,openfoodfacts,not_found
Cricket Edition Oreo Original,Cadbury,Chocolates & Confectionery,openfoodfacts,not_found
